	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
	D.logreer																										
VARIABLES	ec	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	cn_8	cn_9	cn_10	cn_11	cn_12	cn_13	cn_14	cn_15	cn_16	cn_17	cn_18	cn_19	cn_20	cn_21	cn_22	cn_23	cn_24	cn_25	cn_26
																											
ec		-0.236*	-0.119*	-0.198**	-0.315***	-0.513***	0.0526	-0.105*	-0.00321	-0.0924	-0.0146	-0.205**	-0.257***	-0.195	-0.237*	-0.116	-0.502***	-0.238**	-0.177***	-0.369*	-0.369***	-0.0200	0.0301	-0.209**	-0.242**	-0.408***	-0.114
		(0.0603)	(0.0799)	(0.0292)	(2.88e-08)	(2.52e-07)	(0.529)	(0.0784)	(0.962)	(0.298)	(0.740)	(0.0171)	(0.00394)	(0.114)	(0.0703)	(0.267)	(0.00469)	(0.0314)	(0.000959)	(0.0551)	(0.00292)	(0.332)	(0.430)	(0.0219)	(0.0437)	(0.00129)	(0.114)
D.logfeer		0.284*	-0.0154	0.0567	-0.00911	-0.295***	-0.0130	0.0165	0.00246	0.318***	0.0512	0.0542	0.560***	0.491***	0.373***	0.900***	0.394	0.626***	0.621***	0.197	0.264***	0.102***	-0.122	-0.00427	0.463***	0.149	0.298**
		(0.0637)	(0.797)	(0.755)	(0.910)	(0.00937)	(0.889)	(0.909)	(0.976)	(0.00687)	(0.379)	(0.599)	(7.78e-05)	(0.00107)	(0.00838)	(8.10e-10)	(0.155)	(4.91e-05)	(0)	(0.133)	(0.00982)	(0.00468)	(0.144)	(0.962)	(3.67e-07)	(0.247)	(0.0223)
logfeer	0.643***																										
	(0)																										
Constant		0.421*	0.192	0.329*	0.534***	0.870***	-0.0679	0.171*	0.00662	0.152	0.0176	0.331**	0.404***	0.311	0.380*	0.201	0.816**	0.397*	0.289***	0.595*	0.614***	0.0235	-0.0505	0.339**	0.403*	0.700***	0.188
		(0.0727)	(0.112)	(0.0539)	(6.28e-05)	(1.01e-05)	(0.614)	(0.0905)	(0.951)	(0.306)	(0.805)	(0.0205)	(0.00380)	(0.125)	(0.0837)	(0.271)	(0.0107)	(0.0548)	(0.000536)	(0.0764)	(0.00849)	(0.502)	(0.423)	(0.0232)	(0.0502)	(0.00406)	(0.137)
																											
Observations	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728
pval in parentheses																											
*** p<0.01, ** p<0.05, * p<0.1																											
Notes:																											
