	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
UCT	374	100.00	42.55	37.98	349.9
WIP	384	107.3	23.79	64.61	147.7
GECON	386	-0.0108	0.476	-4.178	1.372
BRENT	386	56.20	32.50	10.16	133.6
PCI	386	114.7	36.52	34.74	271.3
EIA_PROD	382	73.04	7.218	57.93	84.59
WTI	386	53.92	29.14	11.27	134.0
IGREA	386	0.0374	0.620	-1.609	1.897
					
